gps:true;id=latitude,type=0;id=longitude,type=0;id=speed,type=1;id=time,type=0;id=altitude,type=0;id=accuracy,type=0
cmdDesc:010D=Vehicle speed (Speed);UnitType=MPH;Unit=1
1558061109541;010D;46.0
1558061109922;010D;46.0
1558061110060;gps;43.50382166666667:-96.77089499999998:12.788123:1558061111000:439.6:1.8:12.86857
1558061110257;010D;46.0
1558061110561;010D;46.0
1558061110862;010D;46.0
1558061111146;gps;43.50393666666667:-96.77089499999998:12.787416:1558061112000:439.3:1.8:12.732169
1558061111159;010D;46.0
1558061111757;010D;46.0
1558061112039;010D;46.0
1558061112135;gps;43.50404833333334:-96.77089499999998:12.416767:1558061113000:439.0:1.8:12.731139
1558061112384;010D;46.0
1558061112649;010D;46.0
1558061112898;010D;46.0
1558061113104;gps;43.50416499999999:-96.77089499999998:12.972741:1558061114000:438.9:1.8:12.769229
1558061113251;010D;46.0
1558061113547;010D;46.0
1558061113859;010D;46.0
1558061114196;gps;43.50428:-96.77089666666667:12.788123:1558061115000:438.9:1.8:12.754302
1558061114472;010D;46.0
1558061114921;010D;46.0
1558061115072;010D;46.0
1558061115075;gps;43.50439500000001:-96.77089666666667:12.787416:1558061116000:438.7:1.7:12.762023
1558061115516;010D;46.0
1558061115784;010D;46.0
1558061116063;010D;46.0
1558061116064;gps;43.50450833333333:-96.77089833333334:12.602809:1558061117000:438.4:1.7:12.769229
1558061116370;010D;46.0
1558061116637;010D;45.0
1558061116997;010D;45.0
1558061117128;gps;43.50462000000001:-96.77089833333334:12.416767:1558061118000:437.8:1.7:12.428483
1558061117251;010D;45.0
1558061117439;010D;45.0
1558061117785;010D;45.0
1558061118057;010D;45.0
1558061118081;gps;43.50473333333333:-96.77089666666667:12.602809:1558061119000:437.6:1.6:12.585473
1558061118480;010D;45.0
1558061118839;010D;45.0
1558061119056;gps;43.504848333333335:-96.77089666666667:12.787416:1558061120000:437.6:1.6:12.577237
1558061119255;010D;45.0
1558061119702;010D;45.0
1558061119964;010D;45.0
1558061120140;gps;43.504963333333336:-96.77089666666667:12.787416:1558061121000:437.4:1.7:12.562825
1558061120245;010D;45.0
1558061121066;gps;43.50507833333333:-96.77089666666667:12.787416:1558061122000:437.3:1.7:12.660108
1558061121421;010D;46.0
1558061121700;010D;45.0
1558061122006;010D;46.0
